ABORTI	Abort Interrupt 
ABS_ACC	Absolute Value of Accumulator 
ABSTC_ACC	Absolute Value of Accumulator and Load TC 
ADD_ACC_imm_16bit_leftshift_imm_0_15	Add Value to Accumulator
ADD_ACC_loc16_leftshift_T	Add Value to Accumulator
ADD_ACC_loc16_leftshift_imm_0_16	Add Value to Accumulator 
ADD_AX_loc16	Add Value to AX 
ADD_loc16_AX	Add AX to Specified Location 
ADDB_SP_imm_7bit	Add 7bit Constant to Stack Pointer 
ADDB_XARn_imm_7bit	Add 7bit Constant to Auxiliary Register
ADDCL_ACC_loc32	Add 32bit Value Plus Carry to Accumulator
ADDCU_ACC_loc16	Add Unsigned Value Plus Carry to Accumulator
ADDL_ACC_loc32	Add 32bit Value to Accumulator 
ADDL_ACC_P_leftshift_PM	Add Shifted P to Accumulator 
ADDL_loc32_ACC	Add Accumulator to Specified Location
ADDU_ACC_loc16	Add Unsigned Value to Accumulator 
ADDUL_P_loc32	Add 32bit Unsigned Value to P 
ADDUL_ACC_loc32	Add 32bit Unsigned Value to Accumulator 
ADRK_imm_8bit	Add to Current Auxiliary Register 
AND_ACC_imm_16bit_leftshift_imm_0_16	Description 
AND_ACC_loc16	Bitwise AND
AND_AX_loc16_imm_16bit	Bitwise AND
AND_IER_imm_16bit	Bitwise AND to Disable Specified CPU Interrupts
AND_IFR_imm_16bit	Bitwise AND to Clear Pending CPU Interrupts
AND_loc16_AX	Bitwise AND 
AND_AX_loc16	Bitwise AND 
AND_loc16_imm_16bitSigned	Bitwise AND
ANDB_AX_imm_8bit	Bitwise AND 8bit Value 
ASP	Align Stack Pointer
ASR_AX_imm_1_16	Arithmetic Shift Right 
ASR_AX_T	Arithmetic Shift Right 
ASR64_ACC_colon_P_imm_1_16	Arithmetic Shift Right of 64bit Value 
ASR64_ACC_colon_P_T	Arithmetic Shift Right of 64bit Value
ASRL_ACC_T	Arithmetic Shift Right of Accumulator 
B_16bitOffset_COND	Branch
BANZ_16bitOffset_ARn	Branch if Auxiliary Register Not Equal to Zero
